timestamp,open,high,low,close,volume,open interest
2026-05-11,7403.5,7454.75,7390.5,7436.75,1233354,2024669
2026-05-12,7435.5,7443.75,7363.25,7426.5,1625151,2027870
2026-05-13,7419.25,7483.75,7399.0,7469.5,1301334,2026453
2026-05-14,7477.5,7540.0,7471.0,7525.5,1371818,2045226
2026-05-15,7522.25,7528.25,7409.25,7432.25,1923350,2023070
2026-05-18,7410.0,7454.25,7373.5,7425.75,1983487,2038695
2026-05-19,7423.5,7440.75,7354.25,7378.0,1804940,2037735
2026-05-20,7377.0,7458.0,7356.0,7451.75,1585626,2047952
2026-05-21,7432.75,7486.75,7407.5,7466.0,1738205,2051895
2026-05-22,7467.0,7524.0,7466.75,7491.0,1242275,2049306
2026-05-25,7519.0,7569.75,7517.0,7553.75,217816,2049306
